MR	Isp_s	MW_gmol	Gamma	T_chamber_K	T_exit_K	SlagFraction	R_specific_J_per_kgK	cp_J_per_kgK	cv_J_per_kgK
									
1.5	341.16668333440043	20.85616707297914	1.100363398651668			2.85539292	398.6572695289396	4370.795268886275	3972.137999357335
1.717948717948718	345.88059223651203	20.253346077530963	1.1029987801091063			2.85539292	410.5229124276553	4396.229461503182	3985.706549075527
1.935897435897436	349.7192497712101	19.774510296217866	1.1049952713088849			2.85539292	420.46364201208513	4425.059627817256	4004.5959858051706
2.1538461538461537	352.90945999356006	19.38457998708437	1.1065492323026074			2.85539292	428.92147385669597	4454.492231969045	4025.570758112349
2.371794871794872	355.6041095239647	19.06057516765656	1.1077876746520157			2.85539292	436.21257727111276	4483.174149448934	4046.961572177821
2.58974358974359	357.9107153874497	18.7868412942115	1.108795197612152			2.85539292	442.56841732702816	4510.472396919554	4067.9039795925255
2.8076923076923075	359.907387845383	18.55235180265056	1.1096297244768716			2.85539292	448.1621902493979	4536.1245780774	4087.9623878280017
3.025641025641025	361.6524242277742	18.349110202868594	1.1103318118187029			2.85539292	453.12620210071026	4560.066844435913	4106.940642335202
3.243589743589744	363.1902611264051	18.171175615856672	1.1109306497161804			2.85539292	457.56327460166136	4582.331999677658	4124.768725075997
3.4615384615384617	364.55541708990296	18.01403740162909	1.1114476360375636			2.85539292	461.5546439023895	4603.003133189519	4141.448489287129
3.67948717948718	365.7751545272264	17.874205447930553	1.111898649646602			2.85539292	465.1654386749747	4622.19003319921	4157.024594524235
3.897435897435898	366.8712719924478	17.74893734194634	1.1122958368481868			2.85539292	468.4484742927983	4640.005385401586	4171.556911108787
4.115384615384615	367.861431359827	17.636045883405707	1.112648547350076			2.85539292	471.44709608498874	4656.561837244326	4185.114741159337
4.333333333333334	368.76008943527535	17.533765071525256	1.11296408946812			2.85539292	474.197218009718	4671.966794539988	4197.76957653027
4.551282051282051	369.5792090370929	17.440651121117423	1.113248259120906			2.85539292	476.72891111765625	4686.320429947901	4209.591518830246
4.769230769230769	370.3287546853391	17.35551394883852	1.1135057005185152			2.85539292	479.06749651223475	4699.714515329486	4220.647018817252
4.987179487179487	371.0171034113615	17.277362435534503	1.1137401789885208			2.85539292	481.2344852506429	4712.232620915712	4230.998135665069
5.205128205128205	371.6513551092603	17.20536331669438	1.1139547807880916			2.85539292	483.24830258514265	4723.950616635336	4240.702314050193
5.423076923076923	372.2375520255736	17.138812535351928	1.1141520536502234			2.85539292	485.1247775190459	4734.936865924662	4249.812088405616
5.641025641025641	372.7808776061652	17.077109913598935	1.1143341221030587			2.85539292	486.87761923533805	4745.2530742589515	4258.3754550236135
5.85897435897436	373.2857989221411	17.019741081053564	1.1145027702753991			2.85539292	488.5187488198001	4754.954815343146	4266.436066523346
6.076923076923077	373.7561942587798	16.966261645579515	1.1146595102553805			2.85539292	490.05861113308583	4764.092313541034	4274.033702407948
6.294871794871795	374.195434918454	16.916286954323418	1.1148056283550325			2.85539292	491.5063595577191	4772.710744744762	4281.204385187044
6.512820512820513	374.6064724691881	16.86948150894999	1.114942228282306			2.85539292	492.87007509638386	4780.8509369765015	4287.980861880117
6.730769230769231	374.9918983781483	16.82555171192469	1.115070261515961			2.85539292	494.1569085226829	4788.549760442468	4294.392851919786
6.948717948717949	375.3540035220567	16.784238760976397	1.1151905550038883			2.85539292	495.37323298119946	4795.840688533245	4300.467455552045
7.166666666666667	375.6948111800794	16.74531466121743	1.1153038281022036			2.85539292	496.5247166964108	4802.753962236277	4306.2292455398665
7.384615384615385	376.01611913712594	16.708577267879253	1.11541071108772			2.85539292	497.6164328567371	4809.317038171564	4311.700605314826
7.602564102564102	376.3195351547448	16.673846244947843	1.1155117600525744			2.85539292	498.65295001580773	4815.554967514713	4316.9020174989055
7.82051282051282	376.606489765863	16.640961071694132	1.1156074651247725			2.85539292	499.6383671791611	4821.490478026093	4321.852110846932
8.038461538461538	376.8782701768042	16.609777829910243	1.1156982616894584			2.85539292	500.5763895999185	4827.1443283948665	4326.567938794948
8.256410256410255	377.1360319291215	16.580167369038065	1.115784537182012			2.85539292	501.47036716165684	4832.535458982602	4331.065091820945
8.474358974358974	377.3808204235866	16.552012949878286	1.1158666390796372			2.85539292	502.3233514455642	4837.681271858775	4335.357920413211
8.692307692307693	377.6135773809566	16.52520950464953	1.1159448779356522			2.85539292	503.1381064072974	4842.59764412428	4339.459537716983
8.91025641025641	377.8351563011818	16.499661868642907	1.116019533216777			2.85539292	503.9171520208312	4847.299150285604	4343.381998264772
9.128205128205128	378.04633533948777	16.475283309129328	1.116090858130913			2.85539292	504.66280076325046	4851.79924964843	4347.13644888518
9.346153846153848	378.247819944749	16.451995236624505	1.116159080883028			2.85539292	505.3771593395585	4856.110270326143	4350.7331109865845
9.564102564102564	378.44025456787045	16.429725870990488	1.116224408894481			2.85539292	506.06216338848697	4860.24359741011	4354.181434021623
9.782051282051285	378.6242274205699	16.408409709115205	1.116287030608475			2.85539292	506.71958864693556	4864.209723148712	4357.490134501777
10.0	378.8002796100289	16.38798648512431	1.1163471187306688			2.85539292	507.3510785294116	4868.018399426935	4360.667320897523
