MR,Isp,T_Chamber,T_Exit,MW,Gamma,Slag_Fraction,Unburned_Metal_Fraction
0.1,0.0,0.0,0.0,46.55464339477459,0.0,0.0,0.0
0.14871794871794872,0.0,0.0,0.0,49.62534184912175,0.0,0.0,0.0
0.19743589743589746,0.0,0.0,0.0,51.223115832855804,0.0,0.0,0.0
0.24615384615384617,0.0,0.0,0.0,34.51787718020993,0.0,0.0,0.0
0.2948717948717949,217.89028321921776,4613.649560206229,3599.2848786940963,28.75619998205339,1.1154387131768773,0.2767289939249806,0.17958067350716245
0.3435897435897436,232.43056135244888,4681.521388560944,3639.3199423800665,29.78300825863448,1.1215577490141588,0.26946246422680054,0.05730877305150118
0.39230769230769236,246.27409961260503,5105.71707876359,3659.9643868299213,29.66759230338821,1.141028201221793,0.3082539905691696,0.0
0.441025641025641,262.0500293919512,5643.157276816559,3901.1787723069365,28.517709070584523,1.1209450664831044,0.3747352613254394,0.0
0.4897435897435898,274.30338300886245,5985.750981885551,4188.600022346336,27.79684021053084,1.0582672052753104,0.36520445008919583,0.0
0.5384615384615384,285.03153749535386,6222.948625397549,4463.535742740081,27.200649074582905,1.0629397611850093,0.3388520341594258,0.0
0.5871794871794872,293.6287926939701,6394.719999267211,4725.768928019903,26.61452216049964,1.067061630995676,0.32115755273546137,0.0
0.6358974358974359,300.59558018051143,6521.623807203319,4916.81119931598,26.062160460299776,1.070730559864281,0.3080858548437406,0.0
0.6846153846153846,306.4221922367746,6616.210680539148,5057.1489959804585,25.549949725029887,1.0740124990556887,0.29777047005453955,0.0
0.7333333333333333,311.28856416165115,6686.784396281837,5154.808853576349,25.077939557635737,1.076958775017194,0.28922179982754703,0.0
0.782051282051282,315.3175814502733,6739.16911117728,5209.802373077834,24.64388128683951,1.0796108615553477,0.28185894945688045,0.0
0.8307692307692307,318.6540326818214,6777.6120789061115,5227.999946101533,24.244779249007344,1.0820032689191463,0.27531730359898804,0.0
0.8794871794871795,321.47076120127537,6805.286622631963,5224.717894970157,23.877506592406426,1.0841655215504091,0.2693593291994291,0.0
0.9282051282051282,323.96543826372573,6824.599431770298,5240.435688419974,23.539052407295337,1.0861233774874917,0.26382767371015325,0.0
0.9769230769230769,326.2594347919788,6837.393768210643,5250.360799097209,23.226618229163794,1.0878995374291018,0.2586175668236285,0.0
1.0256410256410258,328.379563134785,6845.091579463742,5255.24264893305,22.937650210213878,1.089514074807099,0.2536592598630826,0.0
1.0743589743589743,330.34738483315925,6848.796352583745,5256.302594506287,22.669842320115606,1.0909847369960515,0.24890637563004583,0.0
1.123076923076923,332.1805830711908,6849.369023082723,5254.460973775487,22.421125933084564,1.0923271932300547,0.24432805442422714,0.0
1.1717948717948719,333.8938793732171,6847.48463866601,5250.416849630603,22.189653048049532,1.0935552590565796,0.2399036499522232,0.0
1.2205128205128206,335.49968818653224,6843.6749746879095,5244.705020612656,21.97377688922811,1.0946811048839664,0.23561916538657432,0.0
1.2692307692307694,337.00859578198254,6838.3607768433985,5237.73708600447,21.77203190501285,1.0957154506682785,0.23146487887693973,0.0
1.3179487179487182,338.4297140334592,6831.876283454323,5229.831642993344,21.583114408938005,1.0966677410911438,0.22743377595652983,0.0
1.3666666666666667,339.7709516065665,6824.487980160354,5221.236334872487,21.405864401011925,1.0975463048666363,0.2235205272633961,0.0
1.4153846153846155,341.0392220271726,6816.409017552809,5212.144366773754,21.239248941266986,1.0983584952300534,0.21972082997286327,0.0
1.4641025641025642,342.24060720695775,6807.810355340388,5202.706889140215,21.082347161559024,1.099110813585102,0.21603099051975383,0.0
1.512820512820513,343.3804875848752,6798.829422058958,5193.0423746941215,20.93433690778489,1.0998090173889612,0.21244766565566844,0.0
1.5615384615384615,344.46362506383736,6789.577072176086,5183.244004223159,20.794485712591396,1.1004582013730044,0.20896777683329046,0.0
1.6102564102564103,345.4943373673898,6780.142132278712,5173.384222559762,20.662129088241727,1.101062931273295,0.2055881365339729,0.0
1.658974358974359,346.47643340726364,6770.596734636938,5163.520395798088,20.536678619078103,1.1016272347233749,0.2023058283398903,0.0
1.7076923076923078,347.4133628822057,6760.998839051487,5153.69716487248,20.417602452968683,1.102154699718912,0.19911789556299486,0.0
1.7564102564102566,348.30824222870854,6751.395243115105,5143.9492683824155,20.30442093483439,1.1026485806490016,0.19602140959672834,0.0
1.8051282051282052,349.1638956480031,6741.8234398166705,5134.303554100171,20.196701062834023,1.103111746216505,0.19301346655806315,0.0
1.853846153846154,349.98289104705674,6732.3134883015,5124.780572865808,20.09405084204021,1.1035467836881845,0.19009119603388666,0.0
1.9025641025641027,350.76756658974125,6722.88934338855,5115.395881189503,19.996114739511096,1.1039560179751886,0.18725176811370153,0.0
1.9512820512820515,351.5200613650903,6713.569965466609,5106.160982841368,19.90256963715309,1.1043415419902987,0.18449240149397178,0.0
2.0,352.24233405641627,6704.370221870626,5097.084172759261,19.813121290060288,1.1047052431210929,0.1818103710724565,0.0
