MR,Isp_s,Pc_psia,P_out_psia,MW_gmol,Gamma,SlagFraction,MW_kg_per_mol,R_specific_J_per_kgK,cp_J_per_kgK,cv_J_per_kgK,T_chamber_K,T_exit_K
,,,,,,,,,,,,
1.5,341.16668333440043,6949.113214210881,5394.038678099775,20.85616707297914,1.100363398651668,2.85539292,0.02085616707297914,398.6572695289396,4370.795268886275,3972.137999357335,,
1.717948717948718,345.88059223651203,6909.378810199919,5351.038245660076,20.253346077530963,1.1029987801091063,2.85539292,0.020253346077530963,410.5229124276553,4396.229461503182,3985.706549075527,,
1.935897435897436,349.7192497712101,6869.035404140526,5309.495170587839,19.774510296217866,1.1049952713088849,2.85539292,0.019774510296217865,420.46364201208513,4425.059627817256,4004.5959858051706,,
2.1538461538461537,352.90945999356006,6830.561858647862,5270.996364627821,19.38457998708437,1.1065492323026074,2.85539292,0.019384579987084368,428.92147385669597,4454.492231969045,4025.570758112349,,
2.371794871794872,355.6041095239647,6794.814327377319,5235.859279107542,19.06057516765656,1.1077876746520157,2.85539292,0.01906057516765656,436.21257727111276,4483.174149448934,4046.961572177821,,
2.58974358974359,357.9107153874497,6761.969219907679,5203.942419178215,18.7868412942115,1.108795197612152,2.85539292,0.018786841294211497,442.56841732702816,4510.472396919554,4067.9039795925255,,
2.8076923076923075,359.907387845383,6731.92077585009,5174.9544895548615,18.55235180265056,1.1096297244768716,2.85539292,0.01855235180265056,448.1621902493979,4536.1245780774,4087.9623878280017,,
3.025641025641025,361.6524242277742,6704.454410884214,5148.574106403224,18.349110202868594,1.1103318118187029,2.85539292,0.018349110202868595,453.12620210071026,4560.066844435913,4106.940642335202,,
3.243589743589744,363.1902611264051,6679.325321519601,5124.496229367244,18.171175615856672,1.1109306497161804,2.85539292,0.018171175615856672,457.56327460166136,4582.331999677658,4124.768725075997,,
3.4615384615384617,364.55541708990296,6656.292156068825,5102.447118301212,18.01403740162909,1.1114476360375636,2.85539292,0.018014037401629088,461.5546439023895,4603.003133189519,4141.448489287129,,
3.67948717948718,365.7751545272264,6635.13069590191,5082.186935207487,17.874205447930553,1.111898649646602,2.85539292,0.017874205447930554,465.1654386749747,4622.19003319921,4157.024594524235,,
3.897435897435898,366.8712719924478,6615.639513064006,5063.50842798545,17.74893734194634,1.1122958368481868,2.85539292,0.017748937341946342,468.4484742927983,4640.005385401586,4171.556911108787,,
4.115384615384615,367.861431359827,6597.640024009788,5046.232903307649,17.636045883405707,1.112648547350076,2.85539292,0.017636045883405706,471.44709608498874,4656.561837244326,4185.114741159337,,
4.333333333333334,368.76008943527535,6580.975119630721,5030.20649315406,17.533765071525256,1.11296408946812,2.85539292,0.017533765071525254,474.197218009718,4671.966794539988,4197.76957653027,,
4.551282051282051,369.5792090370929,6565.506796053543,5015.296214885992,17.440651121117423,1.113248259120906,2.85539292,0.017440651121117423,476.72891111765625,4686.320429947901,4209.591518830246,,
4.769230769230769,370.3287546853391,6551.114326705429,5001.387265257205,17.35551394883852,1.1135057005185152,2.85539292,0.01735551394883852,479.06749651223475,4699.714515329486,4220.647018817252,,
4.987179487179487,371.0171034113615,6537.691824201438,4988.379738268486,17.277362435534503,1.1137401789885208,2.85539292,0.017277362435534502,481.2344852506429,4712.232620915712,4230.998135665069,,
5.205128205128205,371.6513551092603,6525.146095989757,4976.186594826443,17.20536331669438,1.1139547807880916,2.85539292,0.01720536331669438,483.24830258514265,4723.950616635336,4240.702314050193,,
5.423076923076923,372.2375520255736,6513.395266989499,4964.731776377102,17.138812535351928,1.1141520536502234,2.85539292,0.01713881253535193,485.1247775190459,4734.936865924662,4249.812088405616,,
5.641025641025641,372.7808776061652,6502.367014767975,4953.948423097626,17.077109913598935,1.1143341221030587,2.85539292,0.017077109913598936,486.87761923533805,4745.2530742589515,4258.3754550236135,,
5.85897435897436,373.2857989221411,6491.997377232985,4943.777631009485,17.019741081053564,1.1145027702753991,2.85539292,0.017019741081053565,488.5187488198001,4754.954815343146,4266.436066523346,,
