time_s,web_burned_m,web_burned_mm,d_i_m,L_g_m,A_b_m2,A_p_m2,K_b,P_c_MPa,P_c_psia,r_b_mm_s,mdot_gen_kg_s,mass_flux_wall_kg_m2s,v_inflow_m_s,T_c_K,MW_g_gmol,Gamma_g,rho_g_kg_m3
0.0,0.0,0.0,0.04,0.15,0.06408849013323178,0.0012566370614359172,251.8518518518519,8.457108670238469,1226.5994277158986,12.37961149885815,1.3884335664461733,21.66432012300176,1.8554137798304002,2800.0,32.142123074006385,1.22,11.67627424055353
0.005,6.189805749429075e-05,0.061898057494290754,0.040123796114988584,0.1498762038850114,0.06414279406915843,0.0012644274373460813,252.06525283535984,8.46866963916178,1228.2762038362148,12.386039545053713,1.3903315717739577,21.675569203843995,1.8566866300994185,2800.0,32.09289487289783,1.22,11.674328264368096
0.01,0.0001238282552195593,0.12382825521955931,0.04024765651043912,0.14975234348956087,0.06419683709861657,0.0012722459503244777,252.27762852123448,8.480181019983982,1229.9457878133514,12.392434616218098,1.3922214360470677,21.686760578381673,1.8577215948586285,2800.0,32.04801362322703,1.22,11.673848567191802
0.015,0.0001857904283006498,0.1857904283006498,0.0403715808566013,0.1496284191433987,0.06425061862865467,0.0012800926169789304,252.48897657932358,8.491642598310717,1231.6081485520476,12.398796674850766,1.3941031240676192,21.69789418098884,1.858582102981979,2800.0,32.00636201454495,1.22,11.674434046349594
0.02,0.0002477844116749036,0.24778441167490362,0.04049556882334981,0.1495044311766502,0.06430413806900878,0.0012879674536559911,252.6992946900364,8.503054160536175,1233.263255071413,12.405125683638664,1.3959766007671883,21.708969946367663,1.8593206039637535,2800.0,31.967021582077415,1.22,11.675753982442753
0.025,0.0003098100400930969,0.30981004009309693,0.04061962008018619,0.1493803799198138,0.06435739483211171,0.0012958704764403624,252.90858054437973,8.514415493849107,1234.9110765057965,12.411421605456553,1.397841831207796,21.719987809548968,1.8599787407116175,2800.0,31.929266482802273,1.22,11.677546271974604
0.030000000000000002,0.0003718671481203797,0.3718671481203797,0.04074373429624076,0.14925626570375924,0.06441038833310211,0.0013038017011543265,253.11683184399377,8.525726386238778,1236.5515821056538,12.417684403367296,1.3996987805828878,21.730947705892767,1.8605903722789772,2800.0,31.892509284303447,1.22,11.679598061810472
0.035,0.00043395557013721617,0.43395557013721614,0.04086791114027443,0.14913208885972556,0.06446311798983353,0.0013117611433571756,253.32404630118745,8.53698662650091,1238.1847412384056,12.423914040622149,1.4015474142183064,21.74184957108876,1.8611840031167886,2800.0,31.85625789104258,1.22,11.681730304300531
0.04,0.0004960751403403269,0.49607514034032696,0.04099215028068066,0.14900784971931935,0.06451558322288353,0.001319748818344647,253.5302216389745,8.548196004243625,1239.8105233893023,12.430110480661064,1.40338769757327,21.752693341156863,1.8617844315587062,2800.0,31.820086469852015,1.22,11.683787323833872
0.045,0.0005582256927436323,0.5582256927436323,0.041116451385487265,0.14888354861451272,0.06456778345556252,0.0013277647411483588,253.73535559110803,8.559354309893322,1241.4288981622744,12.43627368711298,1.4052195962413367,21.763478952447716,1.714974423715519,2800.0,34.51611061832641,1.22,12.690264444467225
0.049999999999999996,0.0006204070611791972,0.6204070611791972,0.041240814122358395,0.1487591858776416,0.06461971811392292,0.001335808926535256,253.93944590211657,8.570461334700608,1243.0398352807943,12.442403623796121,1.4070430759513772,21.774206341643215,1.1348661723560913,2800.0,52.117751090471884,1.22,19.186585054727523
0.05499999999999999,0.0006826190792981778,0.6826190792981778,0.04136523815859636,0.14863476184140365,0.06467138662676795,0.0013438813890070513,254.14249032733866,8.581516870746148,1244.6433045887234,12.448500254718292,1.4088581025685354,21.78487544575701,1.7334332274397564,2800.0,34.09385325872635,1.22,12.567473093805178
0.05999999999999999,0.0007448615805717692,0.7448615805717692,0.04148972316114354,0.14851027683885645,0.06472278842566048,0.0013519821427996773,254.34448663295746,8.59252071094648,1246.2392760511577,12.454563544077132,1.4106646420951847,21.79548620213498,1.7122256247363334,2800.0,34.488727086257626,1.22,12.729330695241336
0.06499999999999999,0.0008071343982921549,0.8071343982921549,0.04161426879658431,0.1483857312034157,0.06477392294493198,0.0013601112018827364,254.54543259603614,8.603472649059915,1247.8277197552802,12.460593456260463,1.4124626606718933,21.806038548455813,1.688006427294904,2800.0,34.955947731469955,1.22,12.918220094339828
0.06999999999999999,0.0008694373655734573,0.8694373655734573,0.041738874731146916,0.14826112526885307,0.0648247896216912,0.0013682685799589606,254.7453260045519,8.614372479692273,1249.4086059111953,12.46658995584653,1.41425212457837,21.816532422731427,1.661015268334804,2800.0,35.496099813669254,1.22,13.134456280226052
0.075,0.0009317703153526899,0.9317703153526898,0.04186354063070538,0.14813645936929462,0.06487538789583304,0.0013764542904636666,254.94416465743072,8.625219998302718,1250.981904852775,12.472553007604303,1.4160330002344192,21.82696776330753,1.6321717735323873,2800.0,36.09520785002313,1.22,13.37295995265808
0.08,0.0009941330803907114,0.9941330803907114,0.041988266160781426,0.14801173383921856,0.0649257172100471,0.0013846683465642236,255.14194636458114,8.636015001209493,1252.5475870384892,12.478482576493757,1.4178052542008839,21.837344508864078,1.6036467585595318,2800.0,36.70877660018646,1.22,13.617303431885066
