Al_pct,Mg_pct,d_p0_um,L_c_m,Pc_psia,Primary_OF,Expulsion_Eff_pct,Slag_Pct,Residence_Time_ms,Target_>=90_Met
50.0,50.0,30.0,0.05,200.0,0.25,0.0,23.865,0.610000000000001,False
50.0,50.0,30.0,0.1,200.0,0.25,0.0,23.865,0.610000000000001,False
50.0,50.0,30.0,0.15000000000000002,200.0,0.25,0.0,23.865,0.610000000000001,False
50.0,50.0,30.0,0.2,200.0,0.25,0.0,23.865,0.610000000000001,False
50.0,50.0,30.0,0.25,200.0,0.25,0.0,23.865,0.610000000000001,False
50.0,50.0,30.0,0.3,200.0,0.25,0.0,23.865,0.610000000000001,False
50.0,50.0,30.0,0.35000000000000003,200.0,0.25,0.0,23.865,0.610000000000001,False
50.0,50.0,30.0,0.4,200.0,0.25,0.0,23.865,0.610000000000001,False
50.0,50.0,30.0,0.45,200.0,0.25,0.0,23.865,0.610000000000001,False
50.0,50.0,30.0,0.5,200.0,0.25,0.0,23.865,0.610000000000001,False
50.0,50.0,50.0,0.05,200.0,0.25,0.0,24.975,1.5800000000000034,False
50.0,50.0,50.0,0.1,200.0,0.25,0.0,24.975,1.5800000000000034,False
50.0,50.0,50.0,0.15000000000000002,200.0,0.25,0.0,24.975,1.5800000000000034,False
50.0,50.0,50.0,0.2,200.0,0.25,0.0,24.975,1.5800000000000034,False
50.0,50.0,50.0,0.25,200.0,0.25,0.0,24.975,1.5800000000000034,False
50.0,50.0,50.0,0.3,200.0,0.25,0.0,24.975,1.5800000000000034,False
50.0,50.0,50.0,0.35000000000000003,200.0,0.25,0.0,24.975,1.5800000000000034,False
50.0,50.0,50.0,0.4,200.0,0.25,0.0,24.975,1.5800000000000034,False
50.0,50.0,50.0,0.45,200.0,0.25,0.0,24.975,1.5800000000000034,False
50.0,50.0,50.0,0.5,200.0,0.25,0.0,24.975,1.5800000000000034,False
50.0,50.0,75.0,0.05,200.0,0.25,18.724839333842127,21.426164230615864,2.7000000000000064,False
50.0,50.0,75.0,0.1,200.0,0.25,0.0,26.362499999999994,3.350000000000008,False
50.0,50.0,75.0,0.15000000000000002,200.0,0.25,0.0,26.362499999999994,3.350000000000008,False
50.0,50.0,75.0,0.2,200.0,0.25,0.0,26.362499999999994,3.350000000000008,False
50.0,50.0,75.0,0.25,200.0,0.25,0.0,26.362499999999994,3.350000000000008,False
50.0,50.0,75.0,0.3,200.0,0.25,0.0,26.362499999999994,3.350000000000008,False
50.0,50.0,75.0,0.35000000000000003,200.0,0.25,0.0,26.362499999999994,3.350000000000008,False
50.0,50.0,75.0,0.4,200.0,0.25,0.0,26.362499999999994,3.350000000000008,False
50.0,50.0,75.0,0.45,200.0,0.25,0.0,26.362499999999994,3.350000000000008,False
50.0,50.0,75.0,0.5,200.0,0.25,0.0,26.362499999999994,3.350000000000008,False
50.0,50.0,100.0,0.05,200.0,0.25,63.065689303788616,10.249271218198661,3.1400000000000072,False
50.0,50.0,100.0,0.1,200.0,0.25,10.75401491797399,24.765760860262237,4.929999999999968,False
50.0,50.0,100.0,0.15000000000000002,200.0,0.25,0.0,27.750000000000018,5.729999999999935,False
50.0,50.0,100.0,0.2,200.0,0.25,0.0,27.750000000000018,5.729999999999935,False
50.0,50.0,100.0,0.25,200.0,0.25,0.0,27.750000000000018,5.729999999999935,False
50.0,50.0,100.0,0.3,200.0,0.25,0.0,27.750000000000018,5.729999999999935,False
50.0,50.0,100.0,0.35000000000000003,200.0,0.25,0.0,27.750000000000018,5.729999999999935,False
50.0,50.0,100.0,0.4,200.0,0.25,0.0,27.750000000000018,5.729999999999935,False
50.0,50.0,100.0,0.45,200.0,0.25,0.0,27.750000000000018,5.729999999999935,False
50.0,50.0,100.0,0.5,200.0,0.25,0.0,27.750000000000018,5.729999999999935,False
75.0,25.0,15.0,0.05,200.0,0.25,0.0,23.0325,0.22,False
75.0,25.0,15.0,0.1,200.0,0.25,0.0,23.0325,0.22,False
75.0,25.0,15.0,0.15000000000000002,200.0,0.25,0.0,23.0325,0.22,False
75.0,25.0,15.0,0.2,200.0,0.25,0.0,23.0325,0.22,False
75.0,25.0,15.0,0.25,200.0,0.25,0.0,23.0325,0.22,False
75.0,25.0,15.0,0.3,200.0,0.25,0.0,23.0325,0.22,False
75.0,25.0,15.0,0.35000000000000003,200.0,0.25,0.0,23.0325,0.22,False
75.0,25.0,15.0,0.4,200.0,0.25,0.0,23.0325,0.22,False
75.0,25.0,15.0,0.45,200.0,0.25,0.0,23.0325,0.22,False
75.0,25.0,15.0,0.5,200.0,0.25,0.0,23.0325,0.22,False
75.0,25.0,30.0,0.05,200.0,0.25,0.0,23.865000000000006,0.8200000000000015,False
75.0,25.0,30.0,0.1,200.0,0.25,0.0,23.865000000000006,0.8200000000000015,False
75.0,25.0,30.0,0.15000000000000002,200.0,0.25,0.0,23.865000000000006,0.8200000000000015,False
75.0,25.0,30.0,0.2,200.0,0.25,0.0,23.865000000000006,0.8200000000000015,False
75.0,25.0,30.0,0.25,200.0,0.25,0.0,23.865000000000006,0.8200000000000015,False
75.0,25.0,30.0,0.3,200.0,0.25,0.0,23.865000000000006,0.8200000000000015,False
75.0,25.0,30.0,0.35000000000000003,200.0,0.25,0.0,23.865000000000006,0.8200000000000015,False
75.0,25.0,30.0,0.4,200.0,0.25,0.0,23.865000000000006,0.8200000000000015,False
75.0,25.0,30.0,0.45,200.0,0.25,0.0,23.865000000000006,0.8200000000000015,False
