MR,Isp,Thrust_kN,T_Chamber,T_Exit,MW,Gamma,Slag_Fraction,Unburned_Metal_Fraction
0.1,0.0,0.0,0.0,0.0,48.6500166054253,0.0,0.0,0.0
0.16153846153846155,0.0,0.0,0.0,0.0,18.136383066505235,0.0,0.0,0.0
0.22307692307692306,0.0,0.0,0.0,0.0,46.61794263125453,0.0,0.0,0.0
0.2846153846153846,0.0,0.0,0.0,0.0,64.1355674824075,0.0,0.0,0.0
0.34615384615384615,198.25691565234683,0.9721180909410435,4310.763977790308,3423.006119865569,35.70742917144077,1.070180050673871,5.367778442763994e-06,0.02772846122976882
0.4076923076923077,206.033907318447,1.0102512086022242,4334.400009789122,3466.492583617485,34.6591350316024,0.6582447525735518,5.602951158763331e-06,0.015690262593450743
0.46923076923076923,212.79179123812298,1.0433873097726694,4345.742450851934,3495.351687477622,33.38602694694184,1.0557194949630015,0.06699326884368575,0.0
0.5307692307692308,218.74314734959597,1.0725687429779576,4353.185657349934,3517.1137894395833,31.59020018735831,1.0602731356610047,0.1358933812502249,0.0
0.5923076923076923,224.051332243459,1.0985964986726586,4364.075663040989,3534.5803180829494,30.282170206699163,1.0986351674320096,0.17041437185319086,0.0
0.6538461538461537,0.0,0.0,4469.9599856954555,3534.5803180829494,29.58155324400937,1.1152752157537646,0.1753547296334382,0.0
0.7153846153846153,235.08727780604366,1.152709326448319,4616.192979125312,3550.26174898628,29.794963029699407,1.0978172009320193,0.21074048135133963,0.0
0.7769230769230768,239.54423781856008,1.1745632499016911,4666.944910752306,3749.5215104175745,30.026911177194137,1.0967191588577356,0.24180320167931899,0.0
0.8384615384615384,242.75593595139466,1.1903112496488724,4838.304371340096,3789.0253504091893,30.20445814544159,1.1533860509989124,0.27337888121645665,0.0
0.8999999999999999,247.96066192542648,1.2158317126354916,5275.52563410688,3791.348503912632,30.78491384904744,1.1010740163203838,0.2224536220710967,0.0
0.9615384615384615,253.79139233021527,1.2444216787975526,5596.907063807248,3859.9521337769042,31.185970085152334,1.0980210119208473,0.18929279371465924,0.0
1.023076923076923,258.0638248649056,1.2653708040557132,5835.394596636631,4188.600022346324,31.434666688115293,1.09648134074038,0.17074673086287837,0.0
1.0846153846153845,261.44004645941106,1.2819255158055916,6016.356790254181,4188.6000223463425,31.592112382680398,1.0958026269065952,0.15983479161360198,0.0
1.146153846153846,264.36678163647,1.2962762495676443,6156.338222426826,4346.493574723524,31.69284104305756,1.0955703450380572,0.1531693209853029,0.0
1.2076923076923076,266.5654990665473,1.3070572757104781,6266.079302913584,4503.552966998265,31.757052268189927,1.095579570139251,0.14895438648112294,0.0
1.2692307692307692,268.1968870886252,1.3150565013838331,6352.799632317731,4622.707055669424,31.79709116385034,1.0957339669136723,0.14617336733249595,0.0
1.3307692307692307,269.4383170715082,1.321143636054653,6421.540955709721,4722.870903611719,31.820799104405605,1.0959867717076839,0.14422992379476104,0.0
1.3923076923076922,270.41274203413997,1.3259215583345492,6475.967707053595,4801.069252338856,31.833331169966097,1.0963124910077864,0.14274568658281894,0.0
1.4538461538461538,271.17665871757885,1.3296672901063724,6518.823150795341,4861.71481475343,31.838170964046707,1.0966945715434662,0.14149597074932121,0.0
1.5153846153846153,271.7722778601672,1.3325878043387043,6552.219059398031,4908.168686399182,31.837725203069816,1.0971203721013079,0.14033808146991336,0.0
1.5769230769230769,272.2321224759613,1.334842571939443,6577.809205371229,4943.134475163856,31.833684928558544,1.0975792004462686,0.1391845585553404,0.0
1.6384615384615384,272.58180998865595,1.3365572034626263,6596.911632410033,4968.846870251324,31.827250835227698,1.0980617063855584,0.13798378996843585,0.0
1.7,272.8416644169804,1.3378313541773903,6610.586794631165,4987.147243718387,31.819279573799523,1.0985597402503604,0.1367078627577724,0.0
1.7615384615384615,273.0279070960008,1.338744562561498,6619.698056717686,4999.5331481426465,31.810381057869957,1.0990663649536838,0.13534431764405827,0.0
1.823076923076923,273.153499365555,1.3393603822766098,6624.953002278493,5007.2008376181175,31.800986867792844,1.099575708577274,0.13389075338979914,0.0
1.8846153846153846,273.2288163351676,1.3397296858566357,6626.935750068191,5011.092590760095,31.79139738249498,1.1000829835645496,0.13235119981638746,0.0
1.9461538461538461,273.26220103578703,1.3398933818938004,6626.131852293477,5011.9445662975,31.781815884399506,1.1005843605608856,0.13073342344403838,0.0
2.0076923076923077,273.260381138575,1.339884458346303,6622.947068117189,5010.328621225499,31.77237445947708,1.1010768382787324,0.1290474208949319,0.0
2.069230769230769,273.22881244457045,1.3397296667797733,6617.722126704007,5006.6887051185495,31.763153240135107,1.1015580859915208,0.12730399100168147,0.0
2.1307692307692307,273.17194143007094,1.3394508097126026,6610.745003599716,5001.3702974501,31.754193115228006,1.1020264407677403,0.12551427403718965,0.0
2.192307692307692,273.0934108350044,1.3390657486825481,6602.259579054771,4994.6426873804585,31.745507038458324,1.102480753289363,0.12368896498420968,0.0
2.253846153846154,272.99622723380537,1.3385892259011987,6592.474022772821,4986.717424999536,31.73708897812677,1.1029202496028063,0.1218382535139214,0.0
2.315384615384615,272.8828786777335,1.3380334410924977,6581.565976397648,4977.760903587638,31.728918209508084,1.1033445908165347,0.11997141642261926,0.0
2.376923076923077,272.755442566643,1.3374085804230846,6569.688468983504,4967.9058079341185,31.720966020749856,1.1037536393196055,0.11809696497613324,0.0
2.4384615384615382,272.6156550989759,1.3367231570381857,6556.972717407565,4957.2575561089125,31.713197525645082,1.1041475282136002,0.11622238216839761,0.0
2.5,272.4649855547706,1.3359843752953455,6543.533005447102,4945.901688893075,31.70557479411383,1.104526601026378,0.11435441138576938,0.0
